index,app,category,text,image,procedure,description
276,9,4,点击抽奖按钮三秒 点击停止抽奖 预期结果：转盘成功停止转动，抽奖成功 实际结果： 抽奖失败,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1508578034294/Screenshot_2017-10-21-15-32-54.png,点击抽奖按钮三秒 点击停止抽奖 ,预期结果：转盘成功停止转动，抽奖成功 实际结果： 抽奖失败
277,9,4,点击“发现”按钮进入“发现”页面 点击“积分抽奖”按钮 点击“开始抽奖”按钮 点击“停止抽奖”按钮 无法出现抽奖结果，出现错误：很抱歉，抽奖失败，请检查网络[java.lang.lllegalStateException:Expected BEGIN_OBJECT but was STRING at line 1 column 2],http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1508578078073/%E6%8A%BD%E5%A5%96.png,点击“发现”按钮进入“发现”页面 点击“积分抽奖”按钮 点击“开始抽奖”按钮 点击“停止抽奖”按钮 ,无法出现抽奖结果，出现错误：很抱歉，抽奖失败，请检查网络[java.lang.lllegalStateException:Expected BEGIN_OBJECT but was STRING at line 1 column 2]
354,9,7,1.点击“我的”按钮 2.点击右上角设置图标 3.点击“个人信息”；4.点击“出生日期”选择2017.10.21 预期输出：步骤4后系统提示出生日期不正确，不合常理； 实际输出：能够正常的保存完善个人信息；,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1508582741034/%E6%88%AA%E5%B1%8F_20171021_184147.jpg,1.点击“我的”按钮 2.点击右上角设置图标 3.点击“个人信息”；4.点击“出生日期”选择2017.10.21 ,预期输出：步骤4后系统提示出生日期不正确，不合常理； 实际输出：能够正常的保存完善个人信息；
274,9,5,点击“任务广场”按钮 点击“1017-查询运动领域问法收集七”选项 点击“领取任务”按钮 点击“开始做任务” 未出现任务信息,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1508577976200/%E4%BB%BB%E5%8A%A1.png,点击“任务广场”按钮 点击“1017-查询运动领域问法收集七”选项 点击“领取任务”按钮 点击“开始做任务” ,未出现任务信息
355,9,5,进入任务 点击1017-查询运动领域问法收集 点击领取任务 点击开始做任务 直接提示没有更多题目。不管是1017-查询运动领域问法收集二，1017-查询运动领域问法收集六，还是其他几个相似题目，都没有可做题目，。此BUG严重等级一般，这几个任务复现程度是必现。影响用户体验。,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1508582820700/QQ%E5%9B%BE%E7%89%8720171021172949.png,进入任务 点击1017-查询运动领域问法收集 点击领取任务 点击开始做任务 ,直接提示没有更多题目。不管是1017-查询运动领域问法收集二，1017-查询运动领域问法收集六，还是其他几个相似题目，都没有可做题目，。此BUG严重等级一般，这几个任务复现程度是必现。影响用户体验。
303,9,1,进入“发现”页面 点击“寻找小伙伴”  需要点击寻找小伙伴才能找到“兴趣部落”按钮,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1508580087898/%E5%9B%BE%E7%89%876.png,进入“发现”页面 点击“寻找小伙伴”,  需要点击寻找小伙伴才能找到“兴趣部落”按钮
294,9,1,进入兴趣部落 点击周贡献榜 信息未能正常显示,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1508579439093/A251C109DD3DC4F95AA802B9143DF7E0.jpg,进入兴趣部落 点击周贡献榜, 信息未能正常显示
309,9,1,进入兴趣部落页面 点击“周贡献榜” 出现“网页无法打开”。,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1508580633017/S71021-180938.jpg,进入兴趣部落页面 点击“周贡献榜” ,出现“网页无法打开”。
360,9,1,进入企鹅众测的兴趣部落 点击精华的标签，周贡献版等 显示无法打开页面,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1508583032964/Screenshot_20171021-184937.jpg,进入企鹅众测的兴趣部落 点击精华的标签，周贡献版等 ,显示无法打开页面
275,9,1,点击兴趣部落 无法打开网页，与预期结果不符,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1508577993503/3.png,点击兴趣部落 ,无法打开网页，与预期结果不符
