index,app,category,text,image,procedure,description
167,8,1,分别用手机，微博，qq 用户登入今日头条 随机打开一条新闻 点击分享 点击微信朋友圈 期望结果：可以打开对应 APP 实现分享，实际结果点击 微信朋友圈按钮无效果,http://kikbug-public.oss-cn-shanghai.aliyuncs.com/1490422184000_2.png,分别用手机，微博，qq 用户登入今日头条 随机打开一条新闻 点击分享 点击微信朋友圈 ,期望结果：可以打开对应 APP 实现分享，实际结果点击 微信朋友圈按钮无效果
170,8,1,选择分享 点击朋友圈 无法微信分享视频链接,http://kikbug-public.oss-cn-shanghai.aliyuncs.com/1490421915000_Screenshot_2017-03-25-14-06-32.png,选择分享 点击朋友圈 ,无法微信分享视频链接
171,8,1,点击微信朋友圈 微信无法分享,http://kikbug-public.oss-cn-shanghai.aliyuncs.com/1490422345000_%E5%BE%AE%E4%BF%A1%E5%88%86%E4%BA%AB.jpg,点击微信朋友圈 ,微信无法分享
173,8,1,进入任何频道 打开文章 点击分享到微信 分享到微信功能不可用,http://kikbug-public.oss-cn-shanghai.aliyuncs.com/1490422362000_%E6%88%AA%E5%B1%8F_20170325_141101.jpg,进入任何频道 打开文章 点击分享到微信 ,分享到微信功能不可用
176,8,1,点击分享到微信分享 不可以分享,http://kikbug-public.oss-cn-shanghai.aliyuncs.com/1490423502000_3.png,点击分享到微信分享 ,不可以分享
177,8,1,点击微信朋友圈 按钮无效果,http://kikbug-public.oss-cn-shanghai.aliyuncs.com/1490423553000_2.png,点击微信朋友圈 ,按钮无效果
180,8,1,"分别用手机，微博，qq 用户登入今日头条 随机打开一条新闻 点击分享  点击微信朋友圈 期望结果：可以打开对应 APP实现分享 实际结果:按钮无效果",http://kikbug-public.oss-cn-shanghai.aliyuncs.com/1490424139000_2.jpg,分别用手机，微博，qq 用户登入今日头条 随机打开一条新闻 点击分享  点击微信朋友圈 ,"期望结果：可以打开对应 APP实现分享,实际结果:按钮无效果"
181,8,1,点击微信朋友圈 微信不能分享,http://kikbug-public.oss-cn-shanghai.aliyuncs.com/1490423831000_3.png,点击微信朋友圈, 微信不能分享
182,8,1,随机打开一条新闻 点击分享 点击微信朋友圈 按钮无效果，无法分享,http://kikbug-public.oss-cn-shanghai.aliyuncs.com/1490424002000_634796011497554138.jpg,随机打开一条新闻 点击分享 点击微信朋友圈 ,按钮无效果，无法分享
184,8,1,点击微信朋友圈 按钮无效果,http://kikbug-public.oss-cn-shanghai.aliyuncs.com/1490424100000_744672659354834226.jpg,点击微信朋友圈 ,按钮无效果
185,8,1,点击新闻 进行分享 选择微信分享 无法分享,http://kikbug-public.oss-cn-shanghai.aliyuncs.com/1490424243000_%E5%BE%AE%E4%BF%A1%E5%88%86%E4%BA%AB.jpg,点击新闻 进行分享 选择微信分享 ,无法分享
186,8,1,点击微信朋友圈 按钮无效果,http://kikbug-public.oss-cn-shanghai.aliyuncs.com/1490424346000_2.png,点击微信朋友圈, 按钮无效果
188,8,1,点击微信朋友圈 按钮无效果,http://kikbug-public.oss-cn-shanghai.aliyuncs.com/1490424641000_2.jpg,点击微信朋友圈 ,按钮无效果
194,8,1,分别用手机，微博，qq 用户登入今日头条 随机打开一条新闻 点击分享 分享到微信朋友圈 期望结果：可以打开对应APP实现分享，实际结果：点击微信朋友圈按钮无效果,http://kikbug-public.oss-cn-shanghai.aliyuncs.com/1490424604000_744672659354834226.jpg,分别用手机，微博，qq 用户登入今日头条 随机打开一条新闻 点击分享 分享到微信朋友圈, 期望结果：可以打开对应APP实现分享，实际结果：点击微信朋友圈按钮无效果
196,8,1,点击分享至微信朋友圈 功能无法操作,http://kikbug-public.oss-cn-shanghai.aliyuncs.com/1490425498000_1031742561%40chatroom_1490424810261_62.jpg,点击分享至微信朋友圈 ,功能无法操作
197,8,1,1、点任意一条新闻 2、在文章尾点击微信分享 无法跳转至分享界面，刷新后返回,http://kikbug-public.oss-cn-shanghai.aliyuncs.com/1490424534000_Screenshot_20170325-145131.png,1、点任意一条新闻 2、在文章尾点击微信分享 ,无法跳转至分享界面，刷新后返回
200,8,1,点击分享到微信朋友圈 分享失败,http://kikbug-public.oss-cn-shanghai.aliyuncs.com/1490425594000_S70325-132238.jpg,点击分享到微信朋友圈 ,分享失败
201,8,1,点击分享到微信好友 分享失败,http://kikbug-public.oss-cn-shanghai.aliyuncs.com/1490425629000_S70325-132238.jpg,点击分享到微信好友 ,分享失败
203,8,1,点击微信朋友圈 分享无反应,http://kikbug-public.oss-cn-shanghai.aliyuncs.com/1490426494000_%E5%BE%AE%E4%BF%A1%E6%97%A0%E6%B3%95%E6%B3%A8%E5%86%8C.png,点击微信朋友圈, 分享无反应
